Estado,Total,Branca,Preta,Parda,Região
Rondônia,9,11.7,8.3,7.8,Norte
Acre,6,5.7,4.5,6.3,Norte
Amazonas,4.2,3.6,8,3.9,Norte
Roraima,5.1,7.4,2.9,4.5,Norte
Pará,4.1,5,5.2,3.8,Norte
Amapá,4.5,4.9,1.7,5.1,Norte
Tocantins,6.6,7.8,5.1,6.7,Norte
Maranhão,5.4,5.2,5.2,5.6,Nordeste
Piauí,6.9,7,8.2,6.6,Nordeste
Ceará,8.1,7.9,10,7.9,Nordeste
Rio Grande do Norte,8.5,8.3,8.7,8.2,Nordeste
Paraíba,7.6,5.7,9.6,8.3,Nordeste
Pernambuco,6.8,9.1,6.3,5.5,Nordeste
Alagoas,6.2,6.6,7,5.9,Nordeste
Sergipe,8.5,10.4,6.7,8.4,Nordeste
Bahia,6.3,8.1,5.5,6.2,Nordeste
Minas Gerais,13.7,14.5,12.5,13.4,Sudeste
Espírito Santo,11.3,11.1,6.9,12.5,Sudeste
Rio de Janeiro,8.1,9.7,4.7,7.7,Sudeste
São Paulo,11.8,13.2,9.4,10.2,Sudeste
Paraná,13.9,14.4,17.5,12.9,Sul
Santa Catarina,13.1,13.5,10.1,11.6,Sul
Rio Grande do Sul,17.9,18.4,16.6,16.3,Sul
Mato Grosso do Sul,10.1,10.4,10.5,9.9,Centro-Oeste
Mato Grosso,8.2,9.8,6.4,7.8,Centro-Oeste
Goiás,12,12.8,6.9,12.3,Centro-Oeste
Distrito Federal,9.4,11.4,4.9,8.8,Centro-Oeste
