Estado,Total,Sem rendimento e ate 1/4 do salario minimo,Mais de 1/4 a 1/2 do salario minimo,Mais de 1/2 a 1 salario minimo,Mais de 1 a 2 salarios minimos,Mais de 2 a 3 salarios minimos,Mais de 3 a 5 salarios minimos,Mais de 5 salarios minimos,Região
Rondônia,9,11.4,7.2,8.2,9.6,11.7,9.5,10.4,Norte
Acre,6,7,6.9,4.4,4.8,7.6,8.5,7.7,Norte
Amazonas,4.2,5.9,3.5,3.1,5.3,3.9,4.1,6.7,Norte
Roraima,5.1,7.1,3,4,5.1,8.5,6.3,6.6,Norte
Pará,4.1,4.4,2.7,5.6,2,5.6,6.8,1.7,Norte
Amapá,4.6,1.5,3.2,5.7,4.3,2.6,11.1,13,Norte
Tocantins,6.6,4.3,6,5.9,8.5,8.7,6.7,11.4,Norte
Maranhão,5.4,5.7,5.5,4.8,5.6,6,9.9,5.6,Nordeste
Piauí,6.9,7.1,4.2,7.1,9.5,9.3,6.5,3.4,Nordeste
Ceará,8.1,6.7,6.4,8.4,9.7,11.8,6.4,12.8,Nordeste
Rio Grande do Norte,8.5,9,9.1,7.4,8.9,9.8,10,7.7,Nordeste
Paraíba,7.6,5.5,7.9,6.8,9.9,7.8,6.6,12.1,Nordeste
Pernambuco,6.8,7.9,5.8,6.6,5.7,3,15,13.3,Nordeste
Alagoas,6.2,5.9,6.3,6.2,6.2,6.2,10.6,2.7,Nordeste
Sergipe,8.5,4.7,6.8,9.3,9.4,10.9,14.9,16.5,Nordeste
Bahia,6.3,7.4,3.5,6,7,15.5,8.6,7.7,Nordeste
Minas Gerais,13.7,16.2,17.1,11.9,13.7,14.4,12.4,13.7,Sudeste
Espírito Santo,11.3,13,15.8,10,10.1,10.5,12.8,13.1,Sudeste
Rio de Janeiro,8.1,7.4,9.2,7.5,7.6,7.9,10.2,8.8,Sudeste
São Paulo,11.8,14.1,9.1,11.5,10,14.2,12.1,18.2,Sudeste
Paraná,13.9,18.8,17.9,13.8,12.3,16.3,12.8,10.2,Sul
Santa Catarina,13.1,12.6,19,13.5,12.3,11.8,14.3,15.8,Sul
Rio Grande do Sul,17.9,25.3,19.6,19.2,17.8,13.9,18.3,16.4,Sul
Mato Grosso do Sul,10.1,12.4,9.6,10.2,9.1,10.5,9.8,12.9,Centro-Oeste
Mato Grosso,8.2,9.1,9.6,6.1,9.4,8.6,8.9,7.9,Centro-Oeste
Goiás,12,9.7,13.7,11,12.3,11.6,14.9,13.3,Centro-Oeste
Distrito Federal,9.5,13.3,8.9,8.7,7.9,8.1,12.7,10.9,Centro-Oeste
